epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,157.793,0.7845,1.4075,1.01421,0.94126,0.80402,0.89605,0.67509,0.85014,1.22977,1.04893,0.000649573,0.000649573,0.000649573
2,318.099,0.80897,0.89633,1.00349,0.91344,0.86935,0.94128,0.73273,0.82864,1.17739,1.04472,0.00126412,0.00126412,0.00126412
3,466.221,0.82855,0.83758,1.05321,0.87348,0.79794,0.87752,0.65431,0.96125,1.18487,1.17896,0.00182586,0.00182586,0.00182586
4,609.832,0.77576,0.76488,1.00545,0.96343,0.89447,0.94839,0.77237,0.73846,0.87574,1.02255,0.0017624,0.0017624,0.0017624
5,748.159,0.7576,0.70518,0.98942,0.90782,0.91457,0.9283,0.74881,0.7418,0.8421,1.01516,0.0016832,0.0016832,0.0016832
6,886.723,0.76131,0.67351,0.99965,0.90761,0.92462,0.93237,0.72912,0.82118,0.80339,1.03216,0.001604,0.001604,0.001604
7,1025.52,0.72628,0.63622,0.98951,0.89618,0.91457,0.93922,0.74262,0.74618,0.74249,0.99696,0.0015248,0.0015248,0.0015248
8,1177.24,0.71248,0.6226,0.98084,0.94294,0.96482,0.97651,0.82744,0.6129,0.57216,0.9341,0.0014456,0.0014456,0.0014456
9,1318.24,0.66482,0.57932,0.977,0.9799,0.94975,0.97452,0.81616,0.66837,0.58193,0.95974,0.0013664,0.0013664,0.0013664
10,1463.33,0.67506,0.55889,0.97655,0.93467,0.94975,0.96551,0.78588,0.67633,0.55727,0.95747,0.0012872,0.0012872,0.0012872
11,1606.18,0.65536,0.5468,0.96167,0.94411,0.9598,0.95874,0.78461,0.66861,0.55513,0.96883,0.001208,0.001208,0.001208
12,1744.27,0.63061,0.53082,0.96324,0.97649,0.95477,0.98122,0.8268,0.61008,0.47827,0.94082,0.0011288,0.0011288,0.0011288
13,1892.38,0.6505,0.53743,0.97866,0.96917,0.9397,0.97465,0.80812,0.68774,0.49296,0.94563,0.0010496,0.0010496,0.0010496
14,2045.82,0.65029,0.51712,0.98986,0.95458,0.95046,0.96713,0.81898,0.62196,0.4701,0.95361,0.0009704,0.0009704,0.0009704
15,2198.47,0.61524,0.4936,0.96246,0.97198,0.96482,0.97293,0.82289,0.62819,0.43933,0.93662,0.0008912,0.0008912,0.0008912
16,2348.77,0.57942,0.49082,0.93049,0.97832,0.9598,0.97828,0.82929,0.56556,0.49085,0.92412,0.000812,0.000812,0.000812
17,2498.52,0.53218,0.43746,0.88857,0.97237,0.9598,0.97352,0.8625,0.53425,0.44334,0.91536,0.0007328,0.0007328,0.0007328
18,2638.96,0.53134,0.40883,0.8892,0.97105,0.96985,0.97731,0.85702,0.53782,0.3977,0.90808,0.0006536,0.0006536,0.0006536
19,2787.15,0.5246,0.39534,0.89001,0.97944,0.95736,0.97826,0.8616,0.5177,0.38145,0.89923,0.0005744,0.0005744,0.0005744
20,2926.61,0.52167,0.37596,0.88019,0.96732,0.97487,0.98327,0.86568,0.50225,0.36613,0.89416,0.0004952,0.0004952,0.0004952
21,3066.82,0.48051,0.35884,0.86699,0.97483,0.97299,0.98104,0.87934,0.48609,0.37242,0.88857,0.000416,0.000416,0.000416
22,3206.03,0.47501,0.35775,0.86265,0.98461,0.96445,0.98107,0.88809,0.45347,0.3367,0.88726,0.0003368,0.0003368,0.0003368
23,3346.56,0.46539,0.34376,0.86842,0.9688,0.9799,0.97853,0.89285,0.44636,0.33071,0.87888,0.0002576,0.0002576,0.0002576
24,3485.19,0.44385,0.32367,0.86756,0.97364,0.9799,0.97858,0.89651,0.43192,0.32636,0.87774,0.0001784,0.0001784,0.0001784
25,3624.43,0.43106,0.315,0.87359,0.98234,0.97487,0.9791,0.89902,0.42498,0.31338,0.87359,9.92e-05,9.92e-05,9.92e-05
